mt,btu,bt,bet,p,ph,rt,asc,ad,e,pt,target
14,1,62,3.92,0.01,7.2,20,5,0.6,5.042,450,5.347
14,1,62,3.92,0.01,7.2,20,5,0.6,7.983,450,5.347
14,0,68,320.1,0.139,7,25,20,2,0.468,650,5.377
13,0,22,27.04,0.016,7,60,1.57,0.5,2,500,5.41
14,1,62,3.92,0.01,7.2,20,5,0.6,17.96,450,5.447
14,1,62,3.92,0.01,7.2,20,5,0.6,23.95,450,5.497
18,0,73,8.6,3.8,6,25,101.99,0.2,24,25,5.55
14,0,33,208,0.144,6,25,22.8,1,24,620,5.56
14,0,68,320.1,0.139,7,25,20,2,3.685,650,5.578
14,0,33,208,0.144,3,25,13.6,1,24,620,5.6
13,0,22,27.04,0.016,7,30,6.42,1,2,500,5.62
14,0,68,320.1,0.139,7,25,20,2,1.38,650,5.628
14,0,68,320.1,0.139,7,25,20,2,0.935,650,5.729
17,0,20,317.07,0.381,9,25,28.68,20,24,25,5.77
13,0,22,50.2,0.016,7,45,11.37,0.5,2,500,5.78
14,0,33,208,0.144,5,25,21.8,1,24,620,5.81
1,0,1,87.51,0.09,6.5,25,4.25,1,1,25,5.82
14,0,25,20.1,0.1,7.1,21.5,9.5,1,48,900,5.84
14,0,66,516.67,0.2433,7,25,40,2,0.328,700,5.858
7,0,12,13.8,0.058,2,25,12.11,0.4,4,110,5.88
14,0,68,320.1,0.139,7,25,20,2,0.234,650,5.905
3,0,4,114,0.56,7,25,0.19,0.14,1.737571429,90,5.97
14,0,66,516.67,0.2433,7,25,40,2,0.487,700,5.972
14,0,68,320.1,0.139,7,25,20,2,4.631,650,5.98
14,0,33,208,0.144,4,25,20.8,1,24,620,6.01
14,0,38,29.32,0.081,7,25,50,4,6,600,6.013
13,0,22,27.04,0.016,7,60,3.85,1,2,500,6.06
6,0,7,7.5,0.058,2,25,12.13,0.4,4,110,6.07
18,0,73,8.6,3.8,6,25,112.6,0.2,24,25,6.1
14,0,44,60.89,0.2926,6.3,25,10,1,24,600,6.162
1,0,1,87.51,0.09,6.5,25,8.87,1,1,25,6.25
17,0,20,317.07,0.381,9,25,37.57,20,24,25,6.28
14,0,68,320.1,0.139,7,25,20,2,2.772,650,6.307
6,0,9,13.4,0.058,2,25,12.19,0.4,4,110,6.33
7,0,11,7.5,0.058,2,25,12.11,0.4,4,110,6.41
18,0,73,8.6,3.8,6,25,120.21,0.2,24,25,6.43
14,0,33,208,0.144,3,25,18.5,1,24,620,6.51
14,0,68,320.1,0.139,7,25,20,2,5.544,650,6.533
1,0,1,87.51,0.09,6.5,25,13.48,1,1,25,6.64
1,0,1,87.51,0.09,6.5,25,23.43,1,1,25,6.64
14,0,66,516.67,0.2433,7,25,4.77,2,2.5,700,6.69
13,0,22,50.2,0.016,7,30,11.05,0.5,2,500,6.71
1,0,1,87.51,0.09,6.5,50,3.26,1,1,25,6.74
14,0,66,516.67,0.2433,7,25,40,2,0.64,700,6.746
14,0,66,516.67,0.2433,7,25,40,2,0.962,700,6.792
1,0,1,87.51,0.09,6.5,25,18.23,1,1,25,6.8
14,0,68,320.1,0.139,7,25,20,2,1.848,650,6.834
14,0,66,516.67,0.2433,7,25,40,2,0.803,700,6.883
1,0,1,87.51,0.09,6.5,70,3.22,1,1,25,6.91
6,0,8,11.2,0.058,2,25,12,0.4,4,110,6.91
7,0,13,18.1,0.058,2,25,20.21,0.4,4,110,6.92
18,0,73,8.6,3.8,6,25,131.98,0.2,24,25,6.97
13,0,22,50.2,0.016,7,45,15.54,0.5,2,500,7.07
14,0,66,516.67,0.2433,7,25,40,2,1.427,700,7.202
14,0,66,516.67,0.2433,7,25,40,2,2.367,700,7.248
13,0,22,27.04,0.016,7,60,5.58,1,2,500,7.25
14,0,38,29.32,0.081,7,25,50,4,6,600,7.25
14,0,66,516.67,0.2433,7,25,40,2,1.897,700,7.271
14,0,27,20.1,0.1,7.1,21.5,25,1,48.5,900,7.32
15,1,71,41.87,0.43,6.5,25,0.48,0.2,1,180,7.38
14,0,25,20.1,0.1,7.1,21.5,13.4,1,48,900,7.41
13,0,22,50.2,0.016,7,60,10.39,0.5,2,500,7.42
16,0,72,63.6,0.381,6,25,0.65,0.2,24,25,7.43
1,0,1,87.51,0.09,6.5,50,17.48,1,1,25,7.46
13,0,22,50.2,0.016,7,60,15.29,0.5,2,500,7.47
1,0,1,87.51,0.09,6.5,50,22.32,1,1,25,7.63
18,0,73,8.6,3.8,6,25,145.59,0.2,24,25,7.63
14,0,25,20.1,0.1,7.1,21.5,17.1,1,48,900,7.69
7,0,14,20,0.058,2,25,20.09,0.4,4,110,7.71
1,0,1,87.51,0.09,6.5,50,7.3,1,1,25,7.73
1,0,1,87.51,0.09,6.5,50,12.27,1,1,25,7.79
